,text,polarity
2165,flight was canceled after the last opportunity to rebook us on other flights this evening passed,negative
2166,boarding a plane would be much faster if you boarded back to front instead of front to back makessense efficiency travel flying,positive
2167,itsand the desk attendant stated we would sit awhile until given the all clear lack of communication seems to the norm,positive
2168,had been suffering immensely ever since this mergehopefully ill never have to flyever again,negative
2169,id really like to get off of this plane now,neutral
2170,possibly the worst airlinegave them three chances second time inweeks a flight has been delayed and or cancelled due to mechanics,negative
2171,cabin pressurization issues are pretty serious flightlanded in washington because of it my head is pounding,neutral
2172,sandra at ur international checkin counter was rude and offensiveshe commented she didnt care if i complained cuz she had yrs,neutral
2173,my contact stuff is in the bag and im legally blind this is so messed up,negative
2174,did i mention that i was on the plane so is my luggage my luggage that im not going to have for how many days,neutral
2175,times ive called customer services each at leastmins each time cut off by your operators why cant you call me back,negative
2176,tell me that youre at least going to cover a room and get me out of here,negative
2177,omg you just bumped me off the last flight can this get any worse,negative
2178,which just speaks to basically the worst designed web system ever,neutral
2179,yeah i tried that abouttimes for two different tickets and it told me to try again later,negative
2180,please fire the captain of flighttoday he single handedly ruined every passengers day by being a piece of shit unitedsucks,positive
2181,u blow,negative
2182,what exactly do you hang on this hook,neutral
2183,flight cancelledhrs at airport to book a new one forjust got two invoices for the flight each for approxreally,negative
2184,why do you hire pos pilots thanks for ruining my trip and not allowing me to see my buddy as he turnsunitedsucksdick,neutral
2185,your airline is again rated the worst in america so youve got your work cut out for you its bc you treat customers like garbage,negative
2186,whats the best way to get your tickets print off at home or go to check in desk,negative
2187,pay for my hotel im a broke student help,negative
2188,allof us are on standby in houston tomorrow for flights to calgary if you could get us on one or two of those that would help,neutral
2189,what a nightmareboth sides of my flights are a disasterat houston getting attitude cuz i was sent to ticket counter,negative
2190,youre terrible,negative
2191,it was eventually explained that weather conditions too extreme to get luggage off planes will be sent on but i wont be for days,negative
2192,anyone there did you read my dm,neutral
2193,from denver we just boarded fingers crossed we get into the air,negative
2194,ewr to mco made unplanned landing because of pressurization failure worst pain ive ever felt i thought i was going to pass out,negative
2195,how does that make a flight takeoff on time and regardless it makes me late because now i have to wait for my bag at baggage claim,negative
2196,its been overhoursat what point do you let people off of the plane,neutral
2197,trying to get a customer service agentjust landed in sfocant fly withlayovers withkids,negative
2198,why are there no early morning flights from hnl to anywhere in the continental us example mondayneed flight to phl,negative
2199,nope i gave upmaybe theyll deliver it,neutral
2200,thanks for the upgrade please try to get my company to approve more business class travel,positive
2201,more and more delays no cs help at all no notifications,positive
2202,and waiting,neutral
2203,hoping there is a spare ac fortomorrowhave a ship to boardthe sched aircraft is delayed from previous flts,neutral
2204,hubby made it by the skin of his teeth,neutral
2205,the incompetence is truly stunning at this pointhours on a plane for ahour nonstop flight,neutral
2206,st u delay my flight for mechanical failurethenhrs on the runway amphrs later im still here with a lost bag amp no resolution,negative
2207,is the worst,negative
2208,still waiting,neutral
2209,thanks for the reply to clarify the airfare is similar to your likely intended peer group thebeer charge however is not,positive
2210,lies lies liesstill sitting at the gate have not moved an inch,negative
2211,i have requested upgrade for ewr bom flight end of may milescopay when will i know if i am upgraded,positive
2212,amp finally he was told he couldnt use the front of plane restrm he was row though myselfothers in rows behind him used wno issue,neutral
2213,customerservice atcould not be worse i get the bad weather but this is awful,negative
2214,any plans of restating nonstop service between iad and south floridawe miss our flights to fll,negative
2215,instead of be told when we board we have to wait for the emails telling us about the delays,neutral
2216,additionally my husband paid for tv service amp it stopped working about halfway through the flight,negative
2217,following,neutral
2218,unfortunately they didnt i asked the staff if they could help they said we should ask ppl in our row to switch but no one would,neutral
2219,please update what is going to happen to passengers now that flt ua has been cancelled,positive
2220,your baggage person told me to go throughtheyre handling my connecting flight,negative
2221,i sent a pm over two weeks ago and have heard nothinghorribleservice unitedsucks,neutral
2222,well to the degree that he could just to know after this experience im canceling my miles card thank god for,positive
2223,thank you excited to be working with you guys,positive
2224,could really use your help getting our bags at iad were headed to yow but now going to yxu,positive
2225,it appears there are six flights to calgary tomorrow is this correct,positive
2226,and yet we still havent left yet and i cant watch my prepaid directtv firstworldproblems,negative
2227,yr team have me on hold for over an hour unhelpful pls can you answer my question,negative
2228,let us know when you find everyones luggage thanks unitedairlines,positive
2229,do u serve peanutsnuts on yr flights yr policies r confusing contradictory advice pls help anaphylaxiswill u ask thoserefrain,neutral
2230,is there another airport closer to calgary we can fly out of tomorrow,neutral
2231,nope im on uathat was supposed to leave atbut are still at the gate apparently we are about to pull back and deice,neutral
2232,still do not have my bag its in the clt airport was originally told i would have it by pm,neutral
2233,yes about an hour after landing,positive
2234,just texted me to say flight is delayed due to air traffic control bs they pulled the plane in late lies,negative
2235,minutes to boarding at b in ord no sign of gate agent a little help,neutral
2236,on flightright now,neutral
2237,can you help me get a flight out tonight to houstonjust dont want to be stuck here till monday with all this bad weather moving in,neutral
2238,website says my flight is on time it leaves inmin and nobody has boarded yet pathetic needtobehonest,negative
2239,from the air another missed cnxn day atc went on strike in belize this am now family amp i miss cnxn in ewr please see my dms,negative
2240,we are the airline that has cancelled flights tomorrow to the nyc area,neutral
2241,hoping to get out earlier thanonly phone option or assistance with hotel,negative
2242,having to pay for a hotel room in cleveland because of last minute cancelled connecting flight booked through unitedunimpressed,negative
2243,i was on ua and it was cancelled im waiting at customer service,neutral
2244,i was on ua today and left my sunglasses in seat f please help me get them back unitedairlines,positive
2245,flight has been delayed for another hour so only havemins to transit at lax extremely unlikely i will make it,negative
2246,we are now going back to the gate bc of something overheating after sitting out here forhourslove united but this stinks,positive
2247,congratulations united fail again sky at a gate with a plane full of people waiting onweather gets worse now we cant leave,negative
2248,thank you for leaving my bag in houston despite what your system says i was definitely on the flight,neutral
2249,how come ashuttle bus from lga to ewr has electrical power outlets but our new airbus interiors do not whyjeff,neutral
2250,reply todoesnt do any good to check outlets preflight when moved to different equipment after boarding due to malfunction,positive
2251,hr flight wbroken dreamliner media system witness mental breakdown as we bounce off walls remind me why im k,negative
2252,i was rebooked thru sfo but arrivehours late and miss activities i asked to fly today with stop over was told id have to pay,negative
2253,never again,neutral
2254,tonight you made this fred flintstone happy with an upgrade to st class,positive
2255,who do i need to contact regrading a complaint and to get a voucher funds for future travel on united,negative
2256,is trying to strand us in houston until tomorrow morning pretty sure overbooking and maintenance arent our fault,negative
2257,your costumer service today in the providence airport was sucked recommend your airline learn to check the weather and be honest,positive
2258,fire yr rep who refused to put me on a flight that i had a boarding pass and seat on full explanation and her name in complaint,negative
2259,thats great pls let me know when u start,positive
2260,lmfao,neutral
2261,god damn fucking crew wont be here tillso youve known for over an hour and a half the flight time was bullshit,negative
2262,you really do have a culture problem everyone i tried to work with blamed someone else or told me how theyre short staffed,negative
2263,sucks,neutral
2264,i can understand that but to not have another plane available when there is a full day till departure is unacceptable phoenix,neutral
2265,is honestly ruining my fucking life right now never again,positive
2266,flight cancelled to bdl and strandedwaiting almost hrs at customer service shout out to diligent agents,neutral
2267,wheres the crew for ua,neutral
2268,thanksnot sure arranged move to the earlier flight but im at the gate with a seat assignmentsuper nice agent at gate c ord,neutral
2269,quality work going on here,positive
2270,no customer service rep could confirm where my bag was amp each gave me different info ruinedevents i had today disappointed,neutral
2271,weve let you know how to help the millions of customers youve treated like garbage its no coincidence ur ranked worst airline,neutral
2272,yes after landing at pm last night spoke tobaggage claim customer service reps finally spoke to one amazing ticket agent,neutral
2273,chargingfor biz flight to uksomewhat egregious chargingon top for a sam adams draft at the united club is usurious,negative
2274,i see thanks for explaining,neutral
2275,your social listening capabilities are awful if this is the reply for the context in which you were mentioned,negative
2276,if you follow me i will dm you my phonewhich you can call,neutral
2277,after an hour wait my issue is resolved i did contact customer service to comment on the wait time thanks for contacting me,positive
2278,yes they did must have fixed the broken ramp thanks,neutral
2279,flightua is basically a prison on the runwaysfo delays hrs of sitting no water no answers reminded y i hate this airline,negative
2280,hey i missed my outbound flightcan i still use my return ticket,neutral
2281,saysis the final carrierus air doesnt have it i want my bag not a claim not an imsorry i want my clothes,negative
2282,seriouslyhrs to get bags from iad intl arvls to carouselfor custs wcancelled connects i understand irrops but ridiculous,negative
2283,most terrible flight experience happening to everyone right now on flightuadelayshrs total missed all my flights now thnx,neutral
2284,one of you has my bag claimand i want it in mga now,positive
2285,you have failed so uncontrollably today that its beyond repair im beyond livid with your absolute disregard to operations,neutral
2286,the opal dragon book the dragon ali has woven his murdering ways from the philippines to australia,negative
2287,a friend traveled via ua today and never got their luggage what recourse does the person have buy clothes and get reimbursed,negative
2288,i keep getting kicked to an error message when trying to purchase a flight onhave tried at least x,negative
2289,any way to get a message to an international flight gate at ewrroad conditions are horrible trying to get to flight,negative
2290,hello we are doing a world record attempt on the amount of ball point pens in a collection please could you help with a pen,positive
2291,you have a culture issue,neutral
2292,rep wouldnt rebook this is such a waste of time and poor communication,negative
2293,my flight is late due to mechanical issuesofflights in pastdays,negative
2294,employees almost seem happy when delivery terrible customer service,neutral
2295,can i get your service deskat iad,negative
2296,itshow can my flight from a major city already be cancelledhours before departure due to weatherbackup planes,negative
2297,kurt and the crew on ua were amazing today they made my sons birthday with their kindness hope to fly with them again soon,positive
2298,been on hold on the phone for well over half an hour waiting to make a reservation change i wanted to make online help,neutral
2299,instead had to wait on plane from ottawa that never came now im back home and have to try again tomorrow suitcase still lost,negative
2300,im glad u can solve the prob but my experience remainswill not fly again on united,positive
2301,u canceled my flight from iad to jax was supposed to use plane from bna but u used that plane for another destination instead,negative
2302,appreciate the early arrival of ua but any chance ord will ever bring the bags out,positive
2303,it is possible to make a ticket change via twitter traveling internationally and cant make calls thanks in advance,positive
2304,a broken luggage and a mild case of food poisoning from ua lhriah who can i email about this,neutral
2305,just filled it out hope someone responds before we book our next trip,positive
2306,friends been sitting in houston since am flight canceledstill dont have any answers badcustomerservicevoucherwhatajoke,neutral
2307,meant changed planesi hate seating over wing if u wanted i would have booked itu will get formal complaint,negative
2308,give me an email address and ill send the actually screen shot to you,negative
2309,u guys did it again changed ages and double booked seats so i had to ive even though i have platinum and the other person none,neutral
2310,also checked email you have on file for me and it is correct,positive
2311,haven' t before and haven' t this time amp have checked spamjunk mail just in case' nothing,positive
2312,sloppy stuff you dont see anymoreunited has raised my expectationsthis team was poor,negative
2313,how long does it take to get a response from your customer service about a complaint done through email,negative
2314,no bag tagging led to many people backing up the aisle to front with bags,neutral
2315,cabin crew were huge offenders stood as a conversational cluster blocking exiting passengers,positive
2316,allowing passengers on my flight to block exit of plane,negative
2317,no wheelchairs,neutral
2318,no commitment to a good turnaround an operations mgr would have counted a dozen small issues with individual performance,positive
2319,the nightmare continues,negative
2320,this team addedmins on turnaround,neutral
2321,as a million miler with ua and flying almost every week i observe gate and flight crews committed to good operations,neutral
2322,call wait times are overminutes and airport wait times are longer,negative
2323,thanks we did,neutral
2324,yes ive been waiting for four hours and no one has been able to help me,positive
2325,thank you for compensating us for ourlost bags we will fly with you again unitedairlines,positive
2326,we are sitting on the runway forhours it is ridiculous,negative
2327,no your service here pretty much ruined my day but thanks for the weak attempt,negative
2328,what you forgot to tell them the flight was coming thanks for allowing me to miss my connection,negative
2329,such as deodorant shampoo toothpaste seems like that would be limited to oz correct,neutral
2330,why was i forced to check my rollaboard on uaplenty of room in the overhead next to my seat,neutral
2331,please dont take my membership away,positive
2332,please get me an economy plus seat awful day ofcanceled flights after lots of planning,neutral
2333,has me stranded weather not to blame hr hold to speak to an agent that doesnt understand the concept of time zones thanks,neutral
2334,yaayy yay prom,neutral
2335,but your system gave my seat awaynow im l economy not econseat how did you give my plus seat away,positive
2336,i just asked my boyfriend to prom over the loudspeaker on flighthe said yes best day ever thank u so much,positive
2337,yep' used that twice no case id numbers assigned just tried it againget screen that says ' thank you for submitting your request' ,positive
2338,please you moved my seats and lost my upgrade i had seat l i have a ticket in my hand for l,neutral
2339,so appreciated,neutral
2340,hmmmseems like this could be something to be changed to be more flyerfriendly,positive
2341,no problem just follow me back so i can thank you,neutral
2342,any help is appreciated thats a looong wait for help on something thats not his fault,neutral
2343,my husband is supposed to fly rdu to iad then iad to fra leaving inhours you canceled his flight and theres a hr wait on phone,negative
2344,is probably the least satisfactory airline ive ever been on never fails to disappoint,negative
2345,this flight has been amazing this is the best flight i have ever been on i am not kidding service is incredible,positive
2346,not sure why u call it customer careshould be customer we dont care,positive
2347,who is in charge of making decisions over there cancelling flight ua was unacceptable i should be in belize right now,neutral
2348,i flynormallythis doesnt happen to me with themill let your flyers provide their own feedback thank you,positive
2349,the upgrade to first class was a nice way to fix your earlier mistake thank you,positive
2350,how about plowing the snow at a gate before the plane arrives so we dont sit forminutes after anhr flight fail,negative
2351,saturday this morning man dies from ebola,neutral
2352,rhonda c at atlanta airport redeemed you guys she got us straightened out,neutral
2353,ok so what is being done about my experience my family had a terrible experience forits kind of like being robbedexplain,positive
2354,great job losing one of my six bags on a direct flightdont know how you manage to do it,neutral
2355,the worst customer service in denver,negative
2356,ruined my day amp start trip sfo to gig both legs changed lost my paid upgrade ampst class seat amp moved me from econto econ,positive
2357,so whats allowed or whats not allowed to be carried in my checked baggage,neutral
2358,now been on board with no movement forminwow this experience just keeps getting worse and worse,positive
2359,have an employee at the gate min before boarding like u expect ur customers to be a competent company like ur rivals,positive
2360,no wonder the cabin is filthy badservice,neutral
2361,and then when we asked the stewardess to take the disinfectant wipe as trash she said not with my hands badservice,positive
2362,i need united to be a better airline,negative
2363,flight was cancelled due to mechanical issues but when i ask for cab fare they say it was weather and cant help me,neutral
2364,i havent booked yet im asking before i book,neutral
2365,hi there looks like my connection is delayed too so ill make it thanks,negative
2366,luckily i had my disinfectant wipes and did your job for you youre welcome badservice,neutral
2367,you really should clean the food and coffee stains off of the area around the seats when new passengers come aboard gross,neutral
2368,cldnt be happier w the many plastic wing pins given to me on flighti love them amazing staff so nice,positive
2369,since uaordewr is delayed pushing it into meal time does that mean it will be catered with meals in first,neutral
2370,help invest more in your planes and your people and less in stock buybacks and executive pay maybe then you would not disappoint,negative
2371,roc flight cancelled love my snowy drive home with no useful substitutes,neutral
2372,correctwhats correctsorry im lost,negative
2373,thats a crazy long form you need something other than a video,negative
2374,i hope not to see the same issue on my return flight tomorrow,neutral
2375,flight just cancelled this is ridiculous,negative
2376,im flying ua but g with a,neutral
2377,you shouldnt page ohead that its best to callon holdmins,positive
2378,we have developers flying down tmrw morn w min layover there is an earlier flight to have hr layover can move them up,negative
2379,thanks for the replyif you can get me a better seat on my next leg to munich that would be nice,neutral
2380,appreciate getting put on hold for min and then getting hung up on because i was requesting help for big group ill try delta,negative
2381,home is calgary can you get us there without the added expense of accommodations and meals,negative
2382,thank you for your replymy frustration is that spending a upgrade just puts you on a waitlist,positive
2383,or your staff could try not throwing the luggage around,negative
2384,of us are strandedand flying from new orleans to huston tonight and we will be stuck there for two days rather fly than wait,positive
2385,hello i am flying first class and am behindpeople on zonepls pass on to app deptyou should board st class first,positive
2386,thank you for taking care of my mom and rebooking her flight in phl,positive
2387,cant get anyone to deal with me in person cowardly customer service i cant be looked in the eyes by anyone,neutral
2388,nope called lost the seating preference i paid for and here i still sit well see what happens w my flight later,neutral
2389,stuck in dc trying to get to denver the engine shut down twice on us at the terminal got any available flights for me,negative
2390,ill check it out appreciate the response regardless,negative
2391,nopeno case id either time,neutral
2392,yescancelled moved toill figure out car rental changes and such,negative
2393,troubling news time to raise the bar on legroom,negative
2394,was phenomenal frm gate sea to gate iad,positive
2395,thanks hopefully this is easily resolved,positive
2396,a gold so the international baggage limit apply when booked onticketeven for a domestic legwhat if i travel withfriends,neutral
2397,terrible travel experience traveledmiles roundtrip but two cancellations of short hops cost me two days,neutral
2398,why are you charging people to see the freaking flight map,negative
2399,my flight from mco has been delayed amp scheduled to arrive after my connection departs what options do i have,negative
2400,is not a company that values its customer amp after reading tweets to them im not the only one who feels that way lostmybusiness,neutral
2401,i was insulted disrespected and met with incompetence at every turn how about a voucher for a domestic round trip,negative
2402,day to iad and cvg to iad both cancelled by united but all other airlines operating friend stuck and now miss intl flight help,neutral
2403,already dm you my concern pls check,negative
2404,well if you dont want your customers to be frustrated compensate them appropriately when you screw up royally fakesincerity,neutral
2405,im aware i fly a lotjust sad i had to change my shoes boots ha happyflight,negative
2406,i will thanks,positive
2407,employees are the angriest angstiest group of people anywhere except for tasha at checkin at iah,neutral
2408,but its doubtful hell fly united again and he will be traveling a lot as a sales manager covering all of north america,negative
2409,they finally gave in a let him on after they threatened to send him back to vegas on coach thnx,positive
2410,worst customer nonservice for sure,neutral
2411,worst airline ever,neutral
2412,same flight number different flight im heading to mpls,negative
2413,flights taking off from iad this afternoon,neutral
2414,i will i have to get to bangkok i have justdays to spend with my husband in his mid deployment leave like to get there asap,neutral
2415,just let the employees know that good service and a kind attitude towards customers is vital in this kind of business thanks,positive
2416,and a husband,neutral
2417,need assistance line is out the door and travelling withkids,negative
2418,friend at ohare and cant get on flight bc they say no proof he bought st class tkt he has boarding pass,neutral
2419,gave me a smile today with a zero awardcomputers have some sense of humour,positive
2420,right now at tropic air in san pedro belize line out the door all due to elected amp appointed hacks   ,neutral
2421,i take it as a compliment that i was mistaken several times as a member of your staff on my flight time to remove my scarf,negative
2422,your new mileage policy is awful before i might have paid slightly more for united because of miles now theres no difference,negative
2423,can anyone assure me that the aircraft coming to denver had left its previous destination flight,negative
2424,yes refund my ticket and give me email address to let u know what happened,positive
2425,i would likespeakvp of custexp jimmy samartzis i sent a surveyemail about my awful flight exp,negative
2426,we are delayed in san pedro belize we are scheduled to fly out at pm from belize city to houston will you wait please,positive
2427,hello united you should take care of your call center in mexico city office terrible attitude from the lady who was helping me,neutral
2428,greatim guessing you were late to open service is horrible youre overcharging and dont care that everyone is miserable,neutral
2429,im glad k means something lol,positive
2430,unbelievably disappointed delay after delay stop messing with my life,negative
2431,what a really great amp flattering story about you you should be very proud,positive
2432,i was able to get a seat on earlier flight sfo to indcan you add me to pm ord to ind,neutral
2433,im on snowy roads to bwi i just called mileageplus amp told flight was canceledhours ago i rcvd no notification pls help,positive
2434,i interviewed yesterday as a flight attendant i was the last person the recruiter said they lost my file n came back to interview me,negative
2435,remember in business a pleasant experience means you will tell a friend a bad experience means you will tell everyone you see,positive
2436,let me assure you my travel time is hm not hm timezones accuratetraveltimes rdtimethishashappened,positive
2437,u bums how do u lose the biggest bag on the flight,negative
2438,is to airlines asis to cableinternet,neutral
2439,customers '  customer service ' ,neutral
2440,great decision making skills flight ops iah bag makes aminute connection and i dont flight pushed early disappointed,negative
2441,meanwhile they fucked my flightthe festivities are already in full swing at the united fairway club overlooking the th hole,negative
2442,in the process of purchasing ticket when prices changed unbelievable ripoffs pricediscrimination,negative
2443,although i am stranded in chicago ohare for anotherhours any chance your crackerjack service team could provide a meal,negative
2444,all flights canceledtrip refunded without difficulty staff extremely helpful no complaints way to handle bad weather,negative
2445,hours after landing in atl amp i still do not have my bagswhich means no clothes or makeup unitedairlines nothappy,neutral
2446,bullying in the workforce not ok get gate agentswork as a teamagainstis never cool delays flights unitedairlines,negative
2447,really fucked my day up hilo to lax hrmin delay because of software missed connection getting home hrs later no upgrade nothin,neutral
2448,send someone to the customer service counter in person dia concourse b across from gate ba,negative
2449,im not sure why i expected anyone to be here,positive
2450,this is not true gate agentscaused this and were not helpful thanks for making me miss connection,neutral
2451,yes luckily i was there,positive
2452,its my st birthday and my sister is coming to celebrate but her flights keep canceling plz do all you can to get her here,neutral
2453,whats the hold up with flightfrom slc to den,neutral
2454,denphx flight tomorrow canceled asked for overnight nite in laxsna told not without paying thats wrong,negative
2455,can you please follow for a dm,positive
2456,thank you for the help,positive
2457,yeah that didnt happen,neutral
2458,why do i still not have my bags they arrivedampwebsite says theyre still at the airporthours later nothappy,neutral
2459,had a maintenance issue stuck in geneva with meal voucher that wont even cover a plate of spaghetti really,positive
2460,hate when i get bumped out of the seat ive selected amp empty row and moved to another seat nonempty k flt nonupgrade,negative
2461,no announcement re extra baggage find an empty bin down to aisleback up with baggage to my seat rowyour agents argueing,negative
2462,bags arrivedi sure miss the customer focused days when i used to flyheres hopingwakes up,negative
2463,total bshave st class seats for connecting flight your crew late we miss connection had next plane yet u dont honor it,negative
2464,too much info to share via tweet please send me your name and contact info happy to supply you with images and cs rep names,positive
2465,once again your lack of customer service astounds me you are the worst airline in the history of airlines train your staff,negative
2466,extremely disappointed in flight united left crew and pssgrs stranded in raingate with no cover left psngrsdepart plane,negative
2467,besides landing the plane overall customer service experience has been poor late and rude workers plus missing luggage,neutral
2468,i was just calling the global services help desk so via phone,positive
2469,"on final pls dont let my connection leave
conf npbhd",neutral
2470,fuck youand your shitty fucking information,neutral
2471,youre good thank you,positive
2472,how much does a ski bag cost to checkbag containspair is skis and one pair of poles,neutral
2473,wasnt frustrating well not in any way related to yall anyway impressed that i made it,neutral
2474,no thanks,neutral
2475,i got it now wouldnt let me log on with my email thx heres hoping for dtwase without issue today,neutral
2476,oh the wifi router is on top of the fuselage,positive
2477,on sfogtaus uaisjx my seat appears to have had a mite problem dr recently confirmed overbug bites were mites,negative
2478,come on reopenat ord and clear your growing dc backlog,positive
2479,customer service hr delay coupon can only be redeemed on website which hashigher prices than expedia call wait time mins,negative
2480,im strongly considering taking my business elsewhere unitedairlines,neutral
2481,your website wont allow me to post the required document i keep getting were having technical difficulties,neutral
2482,loungeheathrow used by,neutral
2483,really needs to start upgrading their planes no tvs amp then the inflight wifi is currently unavailable unitedairlines,negative
2484,i am not digging the new mileage earning plan i would earn aboutof the miles i do now any changes to the award ticket prices,positive
2485,outsourcing ticket and gate agents at mia ill advised you did it in roc and service went downhill keep employees and fliers first,negative
2486,was just hung up on by customer service after waitingmin on holdguess that vacations not happening website wasnt working,positive
2487,bad idea to letpeople back on the terminal with food vouchers but allow onlyminutes to get anythinglong lines ua,neutral
2488,whats going on with the mileage plus accounts login through username and email have been down for at least three days,negative
2489,what incentive do i have to give you another chance,neutral
2490,my dad booked through orbitz and due to weather he cant make it to the airport can you help him,positive
2491,finally i get the right response united must check this issue uaewr to puj on friday,neutral
2492,to begin newarklondon heathrow route on may,neutral
2493,rebookedarrivedhours laterlast yearhrs to san diego and the no inflight entertainment,neutral
2494,lost bag in huston we leave for a bahamas cruise today from nola and had to buy all new stuff customer service is non existent,negative
2495,site errored out at last step of changing award now cant even pull up reservationminute wait timethanks,positive
2496,you get a nd chance today as i fly to adam lets see if you can redeem yourself after that last horrendous trip to the states,negative
2497,very impressed so far an app thats worth a damn and sms updates on my flight,negative
2498,any last minute flight deals for your cute little frequentflyermy friday flight was cancelled,negative
2499,just had the worst customer service experience ever on united airlines,positive
2500,airlines st amp only time i ever fly your airline what a disgracei shouldve listened to your tweet horrible,neutral
2501,diverged to burlington vermont this sucks,neutral
2502,officially has the most inefficient boarding procedure there is no reason it should takemins to board a plane,neutral
2503,hours of sitting in the plane that hasnt left the gate yetmore hours of actual flying left,negative
2504,i sent my details to the customer care link you sent me almost a month ago and no response,positive
2505,terrible service for military members and their families ridiculous unitedairlines,negative
2506,hi have a question re future booking dubjacjaclaxlaxdubim g what is checked bag allowance for jaclax,negative
2507,my flight was canceled and im needing some help rebooking,neutral
2508,i was just very surprised it took overmins never experienced anything like that on k number,positive
2509,n taxiesdeparting as ua to newark liberty airport,positive
2510,im afraid not i fly or service every week and im just unhappyspend too much money to be unhappy,negative
2511,"thank you
its my daughters th bd party wproj weather cond it doesnt look promising
please assist with earlier flts to cmh",positive
2512,if youre going to cancel flights today do everyone a favor and get on it now dont stall the inevitable,neutral
2513,your planes been waiting at the gate for two hours with all passengers onboard in their cramped seats yuck,negative
2514,flight ua got delayedhours due to a mechanical issuecould use a free drink orto make up for this inconvenience,neutral
2515,his cell phone record needs to be checked to see who did conversed with i trust the faa can handle this better,positive
2516,for wirelesswasepic failgreedy piggy you are the worst,negative
2517,have you inspected the picture routine aircraft check while on his cell phone what will the faa amp nyt say,positive
2518,your airserv contractors arent worth a wet damn min late still not done w bags on ua they made checkin a calamity,negative
2519,will never fly with you again terrible service ruined our entire vacation lostsuitcase noreimbursement,neutral
2520,web app wont let me upgrade seats call center wait time isminutes plus just want to get more legroom but its a pita,positive
2521,characters does not cover my reasons im afraid,negative
2522,while busy on his cell phone,negative
2523,really fill out a form about my flight experience i sent an email to the k email address,neutral
2524,"left gateminutes early 
my thoughts that doesnt count if you sit on the tarmac for a half hour comeonpeople",negative
2525,will the kudos to capt herman be relayed to his chief pilot or should i be emailing someone,positive
2526,on flightbut its not departing website says delayed due to operational difficultieswhat does that mean,negative
2527,do you teach your gate agentslie or do they just learn on their own there was overhead space for my bagdidnt have to check,positive
2528,first officer of uachecking ourprior to departure from ewr yesterday while on his cell safety,neutral
2529,i booked lh via uahowever at gate they rebooked me to a later lh flightnow that flight didnt earn pqd for mehow do i get it,negative
2530,coupled with selfservice policiescost cutting exacerbates the noted issues,neutral
2531,i appreciate the immediate offer but suspect it is more longterm issuenot simple fix also skibootbag policy is awkward at best,neutral
2532,it isnt simple issue generally how you set up check inbaggage policies at logan and general unhelpfulness of employees in early am,positive
2533,terrible illogical reroute after cancelled connection then made me pay to check bag then lost bag ual,negative
2534,i already follow you one of you number agents rebooked me went from ato an a ugh,negative
2535,good job at cletpa on scheduletoinches of snow,neutral
2536,never fails to have delayed flights 'ÿ ,neutral
2537,yes myself and aboutother people also,positive
2538,is elp friendly flyerfriendly united emb elpaso,positive
2539,its been booked into first class with curbside deliveryhours from now im counting on it teamusa,positive
2540,lets do that can you email boarding pass,neutral
2541,' we hope you dont miss your connection for help with rebooking please follow us amp dm your confirmation cp' done thx,neutral
2542,is ridiculous ua delayed forhours and counting should have booked with a diff airline that takes it seriously unitedsucks,negative
2543,provide a voucher for one of my customers and i will tweet about you all day long earnedmybusiness,neutral
2544,at msp w employees trying to check in several hundred and the line is crazy might miss our plane be sure to thank these employees,negative
2545,stellar customer service you have earned my business by your attention to detail,positive
2546,service by staff was great as usual cleanliness and smells a bit much ill be back satisfied traveler,positive
2547,now arrives laxam,neutral
2548,i do i was on ualax to denwe are scheduled to land laxamplease rebook to denverbest flight,negative
2549,no first class passenger should have to pay for inflight wifi,neutral
2550,heyyouve upgraded me on ahour international flight i forgive youthank you,neutral
2551,my flight out of bgm cancelled last night i get a hotel voucher but had to pay for a cab back worse cab experience ever,neutral
2552,s first flightto iah from iad is delayedbecause no one hooked up ground power to the plane get it together folks,neutral
2553,uathere is no way a plane loses its software i believe you decided to do an upgrade,neutral
2554,already missed connection ua,neutral
2555,typically once you get the problem fixedthen the crew expiresand the delay turns into a cancel,negative
2556,uadelayed againi get chargedif late by youyou say oh well,neutral
2557,we are trying to go as far away from kingscollegelondon as possible for charity today would you help usjailbreak rag,neutral
2558,friend stuck in bus on runway at pek with two small kids no customer service no explanation kids crying awful service,neutral
2559,yes to more food add some gluten free options while youre at it,positive
2560,no u guys suck ill never fly with u again and ur supervisors suck too,negative
2561,on a flight to new york love the quality planes on united wtf crappy aviation newyork,neutral
2562,page united values your tweet bc its so rare that they receive tweets complimenting their servicemost are fake,neutral
2563,yes there is when you keep getting the same robotic answer,positive
2564,thank you for a great flight in gfccheers,neutral
2565,bad customer serviceto nyc a few weeks ago thinking of moving on,neutral
2566,uniteds ceo has decided to outsource and or push out more and more of their skilled and loyal employeeslack of staff,positive
2567,i mean your employees were really nice as i literally sobbed,neutral
2568,she means to say there has been so many complaints today this week this month that she cant respond bc shes alone,negative
2569,i was flying home for a am event tomorrow you pushed back my flight now i have aticket that wont get me home in time,neutral
2570,they held the plane made it,neutral
2571,you delayed our departure byhrs to wait for passengers from another flight that was late unacceptable,negative
2572,ok have sent u info via dm i appreciate your help and consideration 'ÿ  ,positive
2573,flightfrom chicago to houston overhours and no pretzels or peanuts seriously about passed out,negative
2574,nice and early back home,positive
2575,i hope so too,positive
